No,그룹,그룹,분류,2025년 4월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025년 4월,2025년 4월,2025년 4월,2025년 4월
No,그룹,그룹,분류,평균월세보증금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,평균월세보증금,평균월세가격,중위월세보증금,중위월세가격
No,그룹,그룹,분류,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천원,천원,천원,천원
69,광주,광주,60㎡초과 85㎡이하,"22,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""22,129""",785,"""20,000""",720
70,광주,광주,85㎡초과,"26,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""26,000""","""1,305""","""30,000""","""1,520"""
71,대전,대전,전체,"10,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""10,105""",569,"""8,764""",549
72,대전,대전,40㎡이하,"5,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""5,681""",460,"""5,000""",455
73,대전,대전,40㎡초과 60㎡이하,"10,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""10,719""",466,"""5,000""",430
74,대전,대전,60㎡초과 85㎡이하,"25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""25,000""","""1,070""","""25,000""","""1,080"""
75,대전,대전,85㎡초과,"39,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""39,000""","""1,496""","""45,000""","""1,200"""
76,울산,울산,전체,"9,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""9,099""",586,"""9,621""",584
77,울산,울산,40㎡이하,"5,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""5,216""",514,"""5,000""",520
78,울산,울산,40㎡초과 60㎡이하,"8,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""8,750""",628,"""10,000""",625
79,울산,울산,60㎡초과 85㎡이하,"17,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""17,208""",685,"""20,000""",675
80,울산,울산,85㎡초과,"25,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""25,600""",966,"""20,000""",875
81,세종,세종,전체,"6,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""6,064""",548,"""5,898""",540
82,세종,세종,40㎡이하,"5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""5,000""",521,"""5,000""",515
83,세종,세종,40㎡초과 60㎡이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,세종,세종,60㎡초과 85㎡이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,세종,세종,85㎡초과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
