No,그룹,그룹,분류,2025년 4월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025년 4월,2025년 4월,2025년 4월,2025년 4월
No,그룹,그룹,분류,평균전세가격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,평균전세가격,평균단위당전세가격,중위전세가격,중위단위당전세가격
No,그룹,그룹,분류,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천원,천원/㎡,천원,천원/㎡
61,대구,대구,전체,"114,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""114,433""","""2,874""","""113,554""","""2,774"""
62,대구,대구,40㎡이하,"80,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""80,260""","""3,008""","""76,500""","""2,778"""
63,대구,대구,40㎡초과 60㎡이하,"143,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""143,317""","""2,768""","""146,500""","""2,961"""
64,대구,대구,60㎡초과 85㎡이하,"206,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""206,833""","""2,566""","""212,000""","""2,544"""
65,대구,대구,85㎡초과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,광주,광주,전체,"103,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""103,240""","""2,528""","""107,993""","""2,495"""
67,광주,광주,40㎡이하,"73,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""73,098""","""2,682""","""73,500""","""2,504"""
68,광주,광주,40㎡초과 60㎡이하,"127,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""127,479""","""2,387""","""146,500""","""2,665"""
69,광주,광주,60㎡초과 85㎡이하,"170,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""170,417""","""2,196""","""170,500""","""2,308"""
70,광주,광주,85㎡초과,"264,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""264,800""","""1,785""","""322,000""","""2,055"""
71,대전,대전,전체,"99,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""99,064""","""2,300""","""97,872""","""2,171"""
72,대전,대전,40㎡이하,"68,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""68,845""","""2,360""","""68,000""","""2,134"""
73,대전,대전,40㎡초과 60㎡이하,"73,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""73,063""","""1,508""","""61,250""","""1,339"""
74,대전,대전,60㎡초과 85㎡이하,"240,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""240,611""","""3,265""","""275,000""","""3,724"""
75,대전,대전,85㎡초과,"331,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""331,900""","""2,415""","""268,500""","""2,359"""
76,울산,울산,전체,"116,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""116,388""","""2,876""","""113,153""","""2,886"""
77,울산,울산,40㎡이하,"93,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""93,000""","""3,334""","""88,250""","""3,430"""
78,울산,울산,40㎡초과 60㎡이하,"125,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""125,341""","""2,567""","""134,000""","""2,518"""
79,울산,울산,60㎡초과 85㎡이하,"153,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""153,125""","""2,032""","""147,000""","""1,867"""
80,울산,울산,85㎡초과,"236,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""236,500""","""2,104""","""214,500""","""2,058"""
81,세종,세종,전체,"95,993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""95,993""","""3,460""","""91,036""","""3,343"""
82,세종,세종,40㎡이하,"88,271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""88,271""","""3,536""","""83,000""","""3,402"""
83,세종,세종,40㎡초과 60㎡이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,세종,세종,60㎡초과 85㎡이하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,세종,세종,85㎡초과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
